,id,groups,age,healthy_eating,active_lifestyle,salary
435,435,O,41,7,5,3460
436,436,O,24,3,6,902
437,437,O,51,6,7,2414
438,438,AB,56,4,5,1716
439,439,B,56,4,7,1252
440,440,A,46,3,5,1134
441,441,A,24,2,2,1249
442,442,A,63,5,2,2993
443,443,O,64,6,8,2182
444,444,O,45,1,8,1824
445,445,O,57,4,5,1716
446,446,AB,36,6,7,2414
447,447,B,54,3,4,1366
448,448,A,61,2,5,553
449,449,A,50,6,7,2414
450,450,A,28,6,7,2414
451,451,O,62,7,3,3923
452,452,O,24,5,7,1833
453,453,O,53,6,3,3342
454,454,AB,30,2,3,1017
455,455,B,29,5,8,1601
456,456,A,18,8,9,3113
457,457,A,58,2,1,1481
458,458,A,55,0,4,1478
459,459,O,32,6,3,3342
460,460,O,60,5,9,1369
461,461,O,22,3,6,902
462,462,AB,27,4,5,1716
463,463,B,39,6,7,2414
464,464,A,23,2,7,1011
465,465,A,21,6,6,2646
466,466,A,51,7,6,3228
467,467,O,34,6,5,2878
468,468,O,35,2,5,553
469,469,O,54,5,5,2297
470,470,AB,63,3,7,670
471,471,B,39,3,5,1134
472,472,A,19,7,6,3228
473,473,A,59,5,7,1833
474,474,A,38,5,5,2297
475,475,O,18,8,6,3809
476,476,O,49,1,7,1592
477,477,O,26,8,6,3809
478,478,AB,56,6,4,3110
479,479,B,52,3,5,1134
480,480,A,23,4,4,1948
481,481,A,48,6,6,2646
482,482,A,21,8,5,4041
483,483,O,45,3,6,902
484,484,O,32,6,2,3574
485,485,O,19,4,3,2179
486,486,AB,31,2,4,785
487,487,B,58,3,1,2062
488,488,A,35,8,8,3345
489,489,A,34,3,4,1366
490,490,A,24,7,1,4387
491,491,O,54,8,6,3809
492,492,O,44,6,9,1950
493,493,O,59,3,6,902
494,494,AB,61,7,4,3691
495,495,B,33,7,7,2996
496,496,A,47,4,2,2411
497,497,A,50,4,7,1252
498,498,A,35,6,8,2182
499,499,O,62,6,8,2182
500,500,O,38,7,3,3923
501,501,O,45,7,6,3228
502,502,AB,21,7,6,3228
503,503,B,29,7,6,3228
504,504,A,42,5,4,2529
505,505,A,47,5,5,2297
506,506,A,53,2,8,1243
507,507,O,42,4,2,2411
508,508,O,64,3,7,670
509,509,O,29,4,1,2643
510,510,AB,22,8,8,3345
511,511,B,23,4,3,2179
512,512,A,48,4,6,1484
513,513,A,37,0,4,1478
514,514,A,30,6,0,4038
515,515,O,23,4,2,2411
516,516,O,32,8,8,3345
517,517,O,34,3,7,670
518,518,AB,41,8,8,3345
519,519,B,21,4,5,1716
520,520,A,57,7,6,3228
521,521,A,42,7,4,3691
522,522,A,51,2,4,785
523,523,O,43,8,7,3577
524,524,O,47,4,5,1716
525,525,O,33,9,6,4390
526,526,AB,40,10,6,4972
527,527,B,43,3,7,670
528,528,A,62,3,6,902
529,529,A,22,2,9,1475
530,530,A,19,5,6,2065
531,531,O,34,7,7,2996
532,532,O,30,7,3,3923
533,533,O,19,5,4,2529
534,534,AB,63,5,10,1137
535,535,B,24,7,4,3691
536,536,A,48,4,7,1252
537,537,A,53,7,5,3460
538,538,A,53,8,7,3577
539,539,O,58,5,3,2761
540,540,O,55,1,5,1128
541,541,O,50,4,8,1020
542,542,AB,37,4,8,1020
543,543,B,27,6,6,2646
544,544,A,51,4,7,1252
545,545,A,27,5,5,2297
546,546,A,22,3,5,1134
547,547,O,18,8,7,3577
548,548,O,44,5,9,1369
549,549,O,62,6,6,2646
550,550,AB,49,4,6,1484
551,551,B,43,5,4,2529
552,552,A,22,6,6,2646
553,553,A,27,3,5,1134
554,554,A,22,3,10,1126
555,555,O,55,4,7,1252
556,556,O,27,3,4,1366
557,557,O,30,5,5,2297
558,558,AB,46,6,8,2182
559,559,B,18,6,6,2646
560,560,A,57,8,5,4041
561,561,A,29,5,6,2065
562,562,A,19,6,1,3806
563,563,O,35,5,6,2065
564,564,O,44,4,7,1252
565,565,O,38,5,4,2529
566,566,AB,37,6,10,1718
567,567,B,39,8,6,3809
568,568,A,47,4,5,1716
569,569,A,42,6,2,3574
570,570,A,52,5,5,2297
571,571,O,28,3,3,1598
572,572,O,33,0,7,2174
573,573,O,20,5,5,2297
574,574,AB,23,2,5,553
575,575,B,21,3,3,1598
576,576,A,33,6,5,2878
577,577,A,28,4,6,1484
578,578,A,18,2,3,1017
579,579,O,54,4,9,788
580,580,O,50,6,5,2878
581,581,O,50,5,1,3225
582,582,AB,48,4,8,1020
583,583,B,34,6,5,2878
584,584,A,37,8,7,3577
585,585,A,27,4,8,1020
586,586,A,22,8,10,2881
587,587,O,51,4,9,788
588,588,O,26,4,5,1716
589,589,O,30,8,3,4505
590,590,AB,45,6,5,2878
591,591,B,58,2,6,779
592,592,A,55,4,4,1948
593,593,A,24,7,6,3228
594,594,A,62,7,6,3228
595,595,O,45,5,6,2065
596,596,O,51,7,6,3228
597,597,O,49,5,7,1833
598,598,AB,64,5,6,2065
599,599,B,55,4,4,1948
600,600,A,20,4,6,1484
601,601,A,20,4,6,1484
602,602,A,31,5,6,2065
603,603,O,23,7,6,3228
604,604,O,31,5,6,2065
605,605,O,28,1,5,1128
606,606,AB,51,0,7,2174
607,607,B,44,9,1,5550
608,608,A,30,3,4,1366
609,609,A,63,8,7,3577
610,610,A,45,3,6,902
611,611,O,43,2,5,553
612,612,O,53,2,9,1475
613,613,O,42,3,5,1134
614,614,AB,62,6,0,4038
615,615,B,54,5,8,1601
616,616,A,46,4,7,1252
617,617,A,25,4,7,1252
618,618,A,62,5,9,1369
619,619,O,30,4,8,1020
620,620,O,32,4,5,1716
621,621,O,30,4,6,1484
622,622,AB,51,5,7,1833
623,623,B,46,3,5,1134
624,624,A,34,4,2,2411
625,625,A,37,0,8,2406
626,626,A,59,3,3,1598
627,627,O,51,2,7,1011
628,628,O,29,3,5,1134
629,629,O,38,4,4,1948
630,630,AB,57,4,0,2875
631,631,B,38,7,3,3923
632,632,A,31,4,5,1716
633,633,A,31,7,7,2996
634,634,A,32,8,5,4041
635,635,O,34,2,8,1243
636,636,O,41,7,6,3228
637,637,O,54,8,9,3113
638,638,AB,58,5,9,1369
639,639,B,19,2,4,785
640,640,A,54,0,5,1710
641,641,A,44,4,8,1020
642,642,A,42,6,6,2646
643,643,O,37,6,7,2414
644,644,O,42,2,7,1011
645,645,O,29,6,6,2646
646,646,AB,41,7,7,2996
647,647,B,40,1,5,1128
648,648,A,43,8,4,4273
649,649,A,58,4,3,2179
650,650,A,60,2,4,785
651,651,O,30,0,6,1942
652,652,O,62,7,3,3923
653,653,O,55,3,6,902
654,654,AB,19,4,7,1252
655,655,B,52,4,2,2411
656,656,A,40,6,0,4038
657,657,A,20,2,6,779
658,658,A,26,5,4,2529
659,659,O,29,6,3,3342
660,660,O,51,7,7,2996
661,661,O,38,4,1,2643
662,662,AB,59,9,5,4622
663,663,B,55,4,4,1948
664,664,A,48,6,7,2414
665,665,A,53,2,4,785
666,666,A,57,5,5,2297
667,667,O,25,8,6,3809
668,668,O,28,3,6,902
669,669,O,62,7,8,2764
670,670,AB,37,10,6,4972
671,671,B,37,8,7,3577
672,672,A,50,5,7,1833
673,673,A,49,7,6,3228
674,674,A,46,8,4,4273
675,675,O,52,5,7,1833
676,676,O,30,3,5,1134
677,677,O,50,7,7,2996
678,678,AB,51,5,8,1601
679,679,B,50,5,6,2065
680,680,A,41,5,7,1833
681,681,A,30,5,9,1369
682,682,A,34,2,3,1017
683,683,O,22,4,4,1948
684,684,O,19,5,2,2993
685,685,O,62,3,7,670
686,686,AB,29,4,3,2179
687,687,B,33,6,6,2646
688,688,A,19,6,6,2646
689,689,A,40,7,5,3460
690,690,A,44,3,5,1134
691,691,O,61,4,8,1020
692,692,O,28,3,6,902
693,693,O,60,5,9,1369
694,694,AB,34,4,7,1252
695,695,B,45,6,6,2646
696,696,A,62,5,5,2297
697,697,A,32,6,9,1950
698,698,A,48,3,6,902
699,699,O,41,2,6,779
700,700,O,29,3,4,1366
701,701,O,64,6,5,2878
702,702,AB,30,5,6,2065
703,703,B,61,5,7,1833
704,704,A,57,4,1,2643
705,705,A,26,5,5,2297
706,706,A,64,2,3,1017
707,707,O,25,7,3,3923
708,708,O,26,5,4,2529
709,709,O,42,2,4,785
710,710,AB,61,7,6,3228
711,711,B,25,5,4,2529
712,712,A,28,4,4,1948
713,713,A,23,6,7,2414
714,714,A,52,8,5,4041
715,715,O,46,5,8,1601
716,716,O,54,7,6,3228
717,717,O,63,1,3,665
718,718,AB,32,5,6,2065
719,719,B,54,3,7,670
720,720,A,50,5,8,1601
721,721,A,62,2,5,553
722,722,A,36,5,9,1369
723,723,O,33,5,5,2297
724,724,O,32,7,5,3460
725,725,O,60,5,9,1369
726,726,AB,26,4,1,2643
727,727,B,54,3,7,670
728,728,A,51,2,8,1243
729,729,A,46,5,8,1601
730,730,A,49,7,10,2300
731,731,O,48,2,8,1243
732,732,O,28,6,4,3110
733,733,O,36,5,7,1833
734,734,AB,33,8,8,3345
735,735,B,37,7,7,2996
736,736,A,28,6,3,3342
737,737,A,22,8,4,4273
738,738,A,24,5,9,1369
739,739,O,27,6,6,2646
740,740,O,20,8,5,4041
741,741,O,40,5,6,2065
742,742,AB,33,9,4,4854
743,743,B,53,5,4,2529
744,744,A,63,5,7,1833
745,745,A,33,3,6,902
746,746,A,38,6,6,2646
747,747,O,28,5,3,2761
748,748,O,52,1,6,1360
749,749,O,56,7,8,2764
750,750,AB,35,6,7,2414
751,751,B,35,3,8,662
752,752,A,48,7,7,2996
753,753,A,41,5,7,1833
754,754,A,21,5,5,2297
755,755,O,39,6,5,2878
756,756,O,47,3,7,670
757,757,O,35,6,9,1950
758,758,AB,41,4,9,788
759,759,B,41,0,7,2174
760,760,A,57,7,7,2996
761,761,A,21,2,4,785
762,762,A,24,5,5,2297
763,763,O,49,6,10,1718
764,764,O,53,4,5,1716
765,765,O,52,7,4,3691
766,766,AB,60,4,7,1252
767,767,B,25,5,6,2065
768,768,A,49,4,8,1020
769,769,A,39,5,4,2529
770,770,A,23,8,5,4041
771,771,O,37,7,9,2532
772,772,O,31,5,8,1601
773,773,O,29,8,8,3345
774,774,AB,61,3,6,902
775,775,B,52,6,9,1950
776,776,A,34,5,7,1833
777,777,A,26,1,6,1360
778,778,A,20,3,6,902
779,779,O,59,4,7,1252
780,780,O,35,7,3,3923
781,781,O,37,6,6,2646
782,782,AB,18,5,7,1833
783,783,B,35,5,9,1369
784,784,A,60,4,7,1252
785,785,A,31,3,4,1366
786,786,A,25,3,4,1366
787,787,O,39,5,7,1833
788,788,O,50,6,7,2414
789,789,O,40,2,6,779
790,790,AB,58,8,8,3345
791,791,B,18,7,3,3923
792,792,A,40,6,6,2646
793,793,A,40,4,6,1484
794,794,A,42,5,6,2065
795,795,O,42,6,5,2878
796,796,O,25,6,5,2878
797,797,O,53,6,8,2182
798,798,AB,40,6,7,2414
799,799,B,62,7,3,3923
800,800,A,35,8,4,4273
801,801,A,62,4,6,1484
802,802,A,38,5,6,2065
803,803,O,50,8,8,3345
804,804,O,51,7,5,3460
805,805,O,28,6,6,2646
806,806,AB,58,6,6,2646
807,807,B,18,8,3,4505
808,808,A,44,5,6,2065
809,809,A,37,8,8,3345
810,810,A,51,5,6,2065
811,811,O,27,4,8,1020
812,812,O,50,2,6,779
813,813,O,62,6,4,3110
814,814,AB,36,4,6,1484
815,815,B,33,7,4,3691
816,816,A,60,3,6,902
817,817,A,35,5,6,2065
818,818,A,45,8,8,3345
819,819,O,61,6,7,2414
820,820,O,60,6,7,2414
821,821,O,46,6,3,3342
822,822,AB,61,8,5,4041
823,823,B,34,7,5,3460
824,824,A,28,2,8,1243
825,825,A,47,5,3,2761
826,826,A,32,4,9,788
827,827,O,27,3,4,1366
828,828,O,28,5,9,1369
829,829,O,51,6,6,2646
830,830,AB,62,7,10,2300
831,831,B,41,0,4,1478
832,832,A,47,4,8,1020
833,833,A,52,8,8,3345
834,834,A,61,7,6,3228
835,835,O,39,7,5,3460
836,836,O,41,4,1,2643
837,837,O,40,4,8,1020
838,838,AB,63,4,7,1252
839,839,B,27,5,5,2297
840,840,A,31,6,8,2182
841,841,A,33,6,6,2646
842,842,A,61,4,7,1252
843,843,O,41,5,6,2065
844,844,O,18,1,5,1128
845,845,O,46,3,9,894
846,846,AB,32,3,9,894
847,847,B,32,9,7,4158
848,848,A,58,5,7,1833
849,849,A,59,7,8,2764
850,850,A,45,4,8,1020
851,851,O,36,4,1,2643
852,852,O,42,3,5,1134
853,853,O,54,3,5,1134
854,854,AB,26,8,3,4505
855,855,B,35,9,7,4158
856,856,A,22,6,3,3342
857,857,A,43,3,5,1134
858,858,A,44,3,5,1134
859,859,O,41,3,8,662
860,860,O,30,5,2,2993
861,861,O,33,5,8,1601
862,862,AB,63,6,7,2414
863,863,B,47,6,9,1950
864,864,A,22,5,2,2993
865,865,A,48,4,5,1716
866,866,A,57,6,6,2646
867,867,O,55,5,7,1833
868,868,O,47,3,3,1598
869,869,O,42,5,4,2529
870,870,AB,40,4,4,1948
871,871,B,21,5,3,2761
872,872,A,19,4,4,1948
873,873,A,18,0,3,1246
874,874,A,36,2,2,1249
875,875,O,48,2,6,779
876,876,O,42,6,2,3574
877,877,O,30,3,8,662
878,878,AB,32,1,7,1592
879,879,B,30,6,2,3574
880,880,A,30,10,4,5435
881,881,A,44,6,5,2878
882,882,A,30,2,4,785
883,883,O,47,8,8,3345
884,884,O,28,4,6,1484
885,885,O,33,7,6,3228
886,886,AB,34,7,5,3460
887,887,B,26,2,8,1243
888,888,A,39,3,8,662
889,889,A,25,6,6,2646
890,890,A,44,6,9,1950
891,891,O,55,4,6,1484
892,892,O,18,1,6,1360
893,893,O,49,6,7,2414
894,894,AB,57,4,5,1716
895,895,B,30,9,5,4622
896,896,A,33,5,3,2761
897,897,A,59,5,4,2529
898,898,A,48,1,9,2056
899,899,O,42,7,9,2532
900,900,O,39,6,6,2646
901,901,O,50,7,3,3923
902,902,AB,31,2,3,1017
903,903,B,28,8,7,3577
904,904,A,56,6,5,2878
905,905,A,46,8,7,3577
906,906,A,38,3,4,1366
907,907,O,35,4,7,1252
908,908,O,25,2,5,553
909,909,O,35,3,6,902
910,910,AB,21,2,5,553
911,911,B,59,6,6,2646
912,912,A,24,5,3,2761
913,913,A,64,6,5,2878
914,914,A,19,5,1,3225
915,915,O,45,9,6,4390
916,916,O,19,4,6,1484
917,917,O,38,4,7,1252
918,918,AB,25,9,6,4390
919,919,B,26,4,6,1484
920,920,A,64,5,4,2529
921,921,A,43,3,7,670
922,922,A,22,4,4,1948
923,923,O,32,7,6,3228
924,924,O,57,3,8,662
925,925,O,57,2,7,1011
926,926,AB,34,4,3,2179
927,927,B,56,2,5,553
928,928,A,44,6,6,2646
